あ
ああ<副>            那么;那样
ふごう[符号]        符号
ふこうへい[不公平(な)] 不公平;不公道
ふさい[夫妻]        夫妻;夫妇
ふざい[不在]        不在???
ふさがる/自         堵;塞;占满
ふさぐ/他         堵住;塞住;挡住;郁闷
ふざける/自      开玩笑;戏弄;欢蹦乱跳
ふさわしい          适合;相称
ふし[節]            节;点;曲调
ぶじ[無事]          平安;健康无过失
ふしあわせ[不幸せ(な)] 不幸
ふしぎ[不思議(な)]  不可思议;奇怪;难以想象
ふじゆう[不自由(な)] 不自由;不方便
ふじゅうぶん[不充分(な)] 不够;不充分
ふしょう[負傷(する/自)] 负伤;受伤
ぶじょく[侮辱(する/他)] 侮辱;污辱
ふじん[婦人]        妇女
ふじん[夫人]        夫人
ふしんせつ[不親切(な)] 不亲切
ふすま         (日本式房间之中的)隔扇
ふせぐ[防ぐ/他]     防御;预防
ふそく[不足(する/自)] 不足;不够
ふぞく[付属(する/自)] 附属
ふた                盖子
ふだ[札]            牌子;莶子
ぶた[豚]            猪
ぶたい[舞台]        舞台
ふたたび            再次
ふたつ[二つ]        两个;两岁;两方
ぶたにく[豚肉]      猪肉
ふたり[二人]        两个人
ふたん[負担(する/他)] 负担
ふだん              平时;不断 
ふち[縁]            沿边;旁边;周缘
ふち[淵]            渊;深水处
ふつう[不通]        不通;绝断
ふつう[普通(の)]    普通;一般
ふつか[二日]        二日;二号;两天
ぶっか[物価]        物价;行市
ふっかつ[復活(する/自)] 复活;复兴
ぶつかる/自         碰;撞;冲突
ぶっきょう[仏教]    佛教
ぶつける/他        扔;投;打;撞上;碰上
ぶっし[物資]        物资
ぶっしつ[物質]      物质
ぶったい[物体]      物体
ふっとう[沸騰(する/自)] 沸腾
ふで[筆]            毛笔
ふと                偶然;突然;忽然
ふとい[太い]        粗
ブドウ              葡萄
ふとる[太る/自]     (人)胖;(动物)肥
ふとん[布団]        被褥;铺盖
ふなびん[船便]      海运;通船
ふね[船]            船
ぶひん[部品]        零件
ふぶき[吹雪]        暴风雪
ぶぶん[部分]        部分
ふへい[不平]        不平;不满意;牢骚
ふべん[不便(な)]    不方便
ふぼ[父母]          父母
ふまん[不満]        不满足;不满意
ふみきり[踏切]      (铁道)道口
ふむ[踏む/他]       踏;踩
ふめい[不明]        不明;不清楚
ふもと              山脚;山麓
ふやす[増やす/他]   増加;添
ふゆ[冬]            冬季;冬天
ふゆかい[不愉快(な)] 不愉快
ふゆやすみ[冬休み]  寒假
フライパン          平底锅
ブラウス            (女用)衬衫
プラス         加;加号;正数;阳性;有利
プラスチック        硬塑料;塑胶
プラン              计划;方案
ふり[不利(な)]      不利;劣势
ふりかえる[振り返る/自] 回头看;回顾
ふりむく[振り向く/自] 回头;回顾;理睬
ふりょう[不良(な)]  不好;不良;坏
プリント          印刷(品);油印;讲义
ふる[降る/自]       下(雨,雪等)
ふる[振る/他]       摇;摆;撒;振
ふるい[古い]      陈旧;古老;已往;落后
ふるえる[震える/自] 发抖;震动
ぶれい[無礼(な)] 没有礼貌;不恭敬;失礼
ブレーキ            制动器;车闸
プレゼント          礼物
ふれる[触れる/自他] 触;碰;接触;感触
ふろ                浴池;澡盆;澡堂
ふろく[付録]        附录
プログラム       节目单;程序表;进程表
ふろしき            包袱皮
ふろば              浴室;洗澡间
ふん[分]       (时间,角度)分;(货币)分
ぶん[分]            部分;份儿;本分
ぶん[文]            文章;句子
ふんいき[雰囲気]    气氛
ふんか[噴火(する/自)] 喷火
ぶんか[文化]        文化
ふんがい[憤慨(する/自他)] 愤慨;气愤
ぶんかい(する/他)[分解] 拆开
ぶんがく[文学]      文学
ぶんかざい[文化財]  文物;文化遗产;文化财富
ぶんかつ[分割(する/他)] 分割;划分;劈
ぶんけん[文献]      文献;参考资料
ぶんし[分子]        分子;
ふんしつ[紛失(する/他)] 遗失;丢失
ぶんしょ[文書]      文件
ぶんしょう[文章]    文章
ぶんせき[分析(する/他)] 分析
ぶんたい[文体]      文体;文章风格
ぶんたん[分担(する/他)] 分担
ぶんぱい[分配(する/他)] 分配
ぶんぷ[分布(する/自)] 分布
ぶんぽう[文法]      语法
ぶんぼうぐ[文房具]  文具
ぶんめい[文明]      文明;物质文化
ぶんや[分野]        领域;范围;方面
ぶんり[分離(する/自他)] 分离;隔离
ぶんりょう[分量]    分量
ぶんるい[分類(する/他)] 分类;分门别类
ぶんれつ[分裂(する/自)] 分裂;裂开

へ
へい[塀]            围墙
へいかい[閉会(する/自他)] 闭会
へいき[平気(な)]   冷静;不在乎;不介意
へいきん[平均(する/他)] 平均;平衡
へいこう[平行(する/自)] 平行;并行
へいじつ[平日]      平日;平时
へいせい[平成]  平成(日本年号1989年-)
へいたい[兵隊]      军人;士兵;军队
へいぼん[平凡(な)]  平凡
へいめん[平面]      平面
へいや[平野]        平原;平野
へいわ[平和]        和平;合睦;平安
ページ              页
ぺこぺこ          瘪;肚子饿;点头哈腰
へた[下手(な)]      笨拙;不高明
べつ[別]            区別;另外;特别
ベッド              床
べつべつ[別々(の)]  分別;各自
ベテラン            老手;老练的人
へび[蛇]            蛇;长虫
へや[部屋]          房间
へらす[減らす/他]   减少;缩减
ヘリコプター        直升(飞)机
へる[減る/自]       减少;磨损
ベル                电铃
ベルト              腰帯;皮帯
へん[辺]            边;一带
へん[変(な)]        奇怪;反常
ペン                笔
へんか[変化(する/自)] 変化;变更
へんかん[変換(する/他)] 变换;转换
ペンキ              油漆
べんきょう[勉強(する/他)] 学习;用功;读书
へんけん[偏見]      偏见
へんこう[変更(する/他)] 変更
べんごし[弁護士]    律师
へんじ[返事(する/自)] 回信;回答;答复
へんしゅう[編集(する/他)] 编辑
べんじょ[便所]      厕所
べんとう[弁当]      盒饭
べんり[便利(な)]    方便

ほ
ほ[穂]              穗(麦穗,稻穗) 
ぼう[棒]            棒子;棍子
ぼうえい[防衛(する/他)] 防卫
ぼうえき[貿易(する/自)] 贸易
ぼうか[防火]        防火
ぼうがい[妨害(する/他)] 妨碍;干扰
ほうき[放棄(する/他)] 放弃
ほうき              笤帚;扫把
ほうげん[方言]      方言;地方话
ぼうけん[冒険(する/自)] 冒险
ほうこう[方向]      方向;方针;路线
ほうこく[報告(する/他)] 报告;汇报
ほうさく[豊作]      丰收
ほうし[奉仕(する/自)] 服务;效劳
ぼうし[防止(する/他)] 防止
ぼうし[帽子]        帽子
ほうしゅう[報酬]    报酬
ほうしん[方針]      方针
ほうせき[宝石]      宝石
ぼうせき[紡績]      纺织;纺纱
ほうそう[放送(する/他)] 广播
ほうそく[法則]      法则;规律;定律
ほうたい[包帯]      绷带
ほうちょう[包丁]    菜刀
ぼうちょう[膨脹(する/自)] 膨胀
ほうどう[報道(する/他)] 报道
ほうふ[豊富(な)]    丰富
ほうほう[方法]      方法;办法
ほうぼう[方々(に)]  各处;到处
ほうめん[方面]      方面;领域
ほうもん[訪問(する/他)] 访问;拜访
ほうりつ[法律]      法律
ぼうりょく[暴力]    暴力;武力
ホウレンソウ        菠菜
ほえる/自           吼叫
ほお[頬]            脸;脸蛋儿;面颊
ボーイ              男服务员;伙计
ボート              小船;小艇
ボーナス            奖金
ホーム           家庭;(棒球)本垒;月台
ボール              球;球状物
ボールペン          圆珠笔
ほか                別处;其他
ほがらか(な)        开朗;快活
ほかん[保管(する/他)] 保管
ぼく[僕]            (男称)我
ぼくじょう[牧場]    牧场;牧地
ぼくちく[牧畜]      畜牧
ポケット            口袋;衣兜
ほけん[保健]        保健
ほけん[保険]        保险
ほご[保護(する/他)] 保护
ほこり[誇り]        自豪;自尊心
ほこり              尘埃;尘土;飞尘
ほし[星]            星
ほしい[欲しい]      想要;希望
ぼしゅう[募集(する/他)] 募集;招募
ほしょう[保証?保障(する/他)] 保证
ほしょう[補償(する/他)] 补偿;赔偿
ほしょうにん[保証人] 保证人
ほす[干す/他]       晒干;弄干
ポスター            海报;招贴
ほそい[細い]        细;狭窄;微弱
ほそながい[細長い]  细长
ほぞん[保存(する/他)] 保存
ほたる              萤光虫
ボタン              纽扣;按钮
ぼち[墓地]          墓地;坟地
ほっきょく[北極]    北极
ぼっちゃん[坊っちゃん] 少爷;令郎;公子
ホテル              宾馆;饭店
ほど                程度;限度;分寸
ほどう[歩道]        人行道
ほどく/他           解开;拆开
ほとけ[仏]          佛;亡魂
ほとんど            几乎;大部分;大概;
ほね[骨]            骨头;骨气
ほのお[炎]          火焰
ほぼ                大体上;大致
ほほえむ/自      含笑;微笑;(花蕾)初放
ほめる/他           称赞;夸奖
ほり[堀]            护城河;渠
ほりょ[捕虜]        俘虏
ほる[掘る/他]       挖掘;刨
ほろびる[滅びる/自] 灭亡;灭绝
ほろぼす[滅ぼす/他] 覆灭;灭亡;消灭
ほん[本]            书
ぼん[盆]            盘子
ほんき[本気(で)]    真心;认真
ほんごく[本国]      自国;本国;祖国
ほんしつ[本質]      本质
ほんだな[本棚]      书架
ぼんち[盆地]        盆地
ほんてん[本店]      总店
ほんとう[本当]      真的;实在;本来 
ほんにん[本人]      本人
ほんの              仅仅;一点点
ほんのう[本能]      本能
ほんばこ[本箱]      书柜
ほんぶん[本文]      本文;正文
ほんみょう[本名]    真名实姓
ほんやく[翻訳(する/他)] 笔译;翻译
ぼんやり            模糊;发呆;走神

ま
ま[間]              间隔;工夫;拍节
まあ                哎;还可以
マーガリン          人造黄油
マーク              记号;标志
まあまあ            马马虎虎;还算可以
まい[毎]            每
まいあさ[毎朝]      每天早晨
マイク              麦克风;话筒
まいご[迷子]        迷路的孩子
まいしゅう[毎週]    每周;每星期
まいつき[毎月]      每个月
まいとし[毎年]      毎一年
マイナス            减;负数;阴性;不利
まいにち[毎日]      每天
まいねん[毎年]      每年
まいばん[毎晩]      每天晩上
まえ[前]            前面;以前;上次
まかせる[任せる/他] 委托;交给;听任
まがる[曲がる/自]弯;拐弯;歪了;不正;拐
まく[幕]            幕
まく/他           播;种;洒;泼;撒;散布
まく[巻く/他]    卷;拧上;上(弦)  →卷
まくら[枕]          枕头
マグロ              金枪鱼
まけ[負け]          输;败
まける[負ける/自]   输;败;减价
まげる[曲げる/他]  弯;曲;折;屈;歪曲;拧歪
まご[孫]            孙子;外孙 →外
まさか            (出乎意料)不会;难到
まさつ[摩擦(する/他)] 摩擦
まさる/自           胜;强;凌驾
まして              何况;况且
まじめ(な)        认真;诚实;正派 →派
まじる[混じる/自]   混杂;搀混
まじわる[交わる/自] 交叉;交际
ます[増す/自他]     増加;增长 →増
まず              首先;最初;姑且;大概
まずい              不好吃;不好;拙劣
マスク              口罩;面罩
まずしい[貧しい]    贫穷
ますます            越发;越来越 
まぜる[混ぜる/他]   混合;搀合
また[股]            胯下
また                又;再;同时
まだ                还没;尚未
またがる/自         跨;骑;拖延
またぐ/他           跨立;跨过
または              或者;要不然
まち[町]            城市;镇;街
まちあいしつ[待合室] 等候室
まちあわせる[待ち合わせる/自] 约会
まちがい[間違い]    错误;差错
まちがえる[間違える/他] 弄错
まつ[松]            松树
まつ[待つ/他]       等候;等待
まっか[真っ赤(な)]  通红;鲜红;完全
まっくら[真っ暗(な)] 黑暗;黑咕隆咚
まっくろ[真っ黒(な)] 漆黑
まっさお[真っ青(な)] 深蓝;(脸色)苍白
まっしろ[真っ白(な)] 雪白;纯白;洁白
まっすぐ(な)        直;正直
まったく            完全;实在;简直
マッチ              火柴;比赛;调和
まつり[祭り]        节日;庙会
まと[的]            目标;靶子;要点
まど[窓]            窗户
まとまる/自        集中起来;谈妥;齐心
まとめ              总结;汇集
まとめる/他      集中;整理;解决;调解
まないた        砧板;(做饭时用的)案板
まなぶ[学ぶ/他]     学习;摸仿;体会
まにあう[間に合う/自] 来得及;赶得上;够用
まね                模仿;装
まねく[招く/他]     招待;招呼
まねる/他           模仿;仿效
まひ[麻痺(する/自)] 麻痹;麻木;瘫痪
まぶしい            晃眼;光彩夺目
まぶた              眼皮;眼睑
マフラー            围巾
まま                原封不动;随心所欲
まめ[豆]            豆
まもなく            不久;一会儿
まもる[守る/他]     守卫;防守;保护
まゆ[眉]            眉毛
まよう[迷う/自]     茫然失措;犹豫
マヨネーズ          蛋黄酱
まる[丸]            圆;句点
まるい[丸い]        圆形;球形;圆满;胖
まるで              简直;好像;完全
まるめる[丸める/他] 弄圆;揉成团
まれ(に)            少有;稀少
まわす[回す/他]     转动;转送;扭转
まわり[回り]        周围;旋转;巡回
まわりみち[回り道]  绕道;绕路
まわる[回る/自]     转;巡回;绕弯
まん[万]            万
まんいち[万一]      万一;假如
まんいん[満員] 满员;载满乘客;挤满观众
まんが[漫画]        漫画;动画
まんげつ[満月]      圆月;满月
マンション          高级公寓
まんぞく[満足(する/自)] 心满意足
まんなか[真ん中]    正当中;正中间
まんねんひつ[万年筆] 钢笔

み
み[実]              果实;种子;内容
みあげる[見上げる/他]往上看;仰视;敬重
みあわせる[見合わせる/他] 互看;作罢
みえる[見える/自]看见;看得见;(敬语)来
みおくる[見送る/他] 送别;搁置
みおとす[見落とす/他] 看漏;没看出来;忽略
みおろす[見下ろす/他] 往下看;俯视;看不起
みがく[磨く/他]     刷;擦;磨练
みかけ[見かけ]      外表;外观;外貌
みかた[味方]    我方;同伙;自己人;拥护
みかた[見方]        看法;见解;想法
みかづき[三日月]    新月;月牙;娥眉月
みかん              桔子;柑桔
みき[幹]            树干
みぎ[右]            右;右边
みぎがわ[右側]      右侧;右边
みぎて[右手]        右手;右边
みぐるしい[見苦しい] 难看;不体面
みごと[見事(な)]    漂亮;精采;彻底
みこみ[見込み]      估计;可能性;预料
みこん[未婚(の)]    未婚
みさき[岬]          岬角
みじかい[短い]      短
みじめ(な)          凄惨;悲惨
ミシン              缝衣机
ミス                错误;小失误  
みず[水]            水;液体
みずいろ[水色]      浅蓝色
みずうみ[湖]        湖;湖水
みずから[自ら]      自己;亲自
みずぎ[水着]        游泳衣
みすぼらしい        寒碜;破旧
みせ[店]            商店;铺子
みせびらかす[見せびらかす/他]  卖弄;炫耀
みせる[見せる/他]显示;装做??样;给??看
みそ                酱;豆酱
みぞ[溝]            水沟;水路
みそしる[みそ汁]    (日本)酱汤
みたす[満たす/他]   充满;填满
みだす[乱す/他]     弄乱;扰乱
みだれる[乱れる/自] 乱;错乱;散乱
みち[道]            道路;路程
みち[未知(の)]      未知;不知道
みちじゅん[道順]    路线;顺序
みちびく[導く/他]   引导;领导;引路
みちる[満ちる/自]   充满;(海水)涨
みっか[三日]        三日;三号;三天
みつかる[見つかる/自] 被发现;找到
みつける[見つける/他] 找到;发现
みっつ[三つ]        三;三个;三岁
みつめる/他         盯着;凝视;注视
みてい[未定(の)]    未定
みとめる[認める/他] 认为;承认;认识
みどり[緑]          绿色;青翠
みな[皆]            大家;全;都
みなさま[皆さま] (敬语)大家;各位;诸位
みなさん[皆さん]    大家;各位;诸位
みなす[見なす/他]   看作;认为
みなと[港]          港口
みなみ[南]          南;南方
みにくい           难看;丑恶;看不清楚
みね[峰]            山峰
みのうえ[身の上]    境遇;经历;身世
みのる[実る/自]     结实;有成果
みはらし[見晴らし]  眺望;景致
みぶり[身振り]      姿态;动作
みぶん[身分]        身份;社会地位
みほん[見本]        样品
みまい[見まい]      看望;问候;慰问
みみ[耳]            耳;耳朵;听觉;边
みゃく[脈]          脉搏
みやげ[土産]        土产;礼物
みょう[妙(な)]      奇妙;异常
みょうごにち[明後日] 后天
みょうにち[明日]    明天
みょうねん[明年]    明年
みょうばん[明晩]    明天晩上
みらい[未来]        未来;将来
ミリ              (长度单位)毫米(mm) 
みりょく[魅力]      魅力;吸引力
みる[見る/他]       看;瞧
ミルク              牛奶
みわたす[見渡す/他] 放眼望去
みんかん[民間(の)]  民间;民营
みんしゅう[民衆]    群众;老百姓
みんしゅしゅぎ[民主主義] 民主主义
みんしゅてき[民主的(な)] 民主
みんぞく[民族]      民族
みんな              大家;全部
みんよう[民謡]      民谣

む
む[無]              无;没有
むいか[六日]        六日;六号;六天
むいみ[無意味(な)]  无意义;没有意思
むかい[向かい(の)]  对面 
むがい[無害(な)]    无害
むかう[向かう/自]  朝向;对(人);往…去
むかえ[迎え]        迎接
むかえる[迎える/他] 迎;接;请
むかし[昔]          从前;往昔
むかしばなし[昔話] 民间故事;传说;往事
むき[向き]          向;朝;适合
むぎ[麦]            麦子;小麦
むく/他             剥;削
むく[向く/自]       向;朝;倾向
むける[向ける/自]   把…朝向…;派
むげん[無限(の)]    无限
むこう[無効]        无效;失效
むこう[向こう]      对面;那边;今后
むごん[無言]        无言;一声不响
むし[無視(する/他)] 无视;忽视
むし[虫]            虫子; …迷
むしあつい[蒸し暑い] 闷热
むしば[虫歯]        虫牙;蛀齿;龋齿
むじゃき[無邪気(な)] 天真无邪;单纯
むじゅん[矛盾(する/自)] 矛盾
むしろ              宁可…;不如…
むす[蒸す/他]       蒸
むすう[無数(の)]    无数
むずかしい[難しい]  难;复杂;麻烦;不好对付
むすこ[息子]        儿子
むすぶ[結ぶ/他]     系;结;缔结;连接
むすめ[娘]        女儿;少女;未婚姑娘
むだ              徒劳无益;白搭;白费
むだづかい          浪费;乱花(钱)
むち[無知]          无知;没有智慧
むちゃ[無茶(な)]    胡搞;乱搞
むちゅう[夢中(で)]  热中;入迷
むっつ[六つ]        六;六个;六岁
むなしい[空しい]    空虚;无聊
むね[胸]            胸;胸膛;内心
むよう[無用(の)]    没有用处;没必要
むら[村]            村子;乡村;庄
むらさき[紫]        紫色
むり[無理(する/自)] 不合理;勉强
むりょう[無料(の)]  免费
むれ[群れ]          群;伙

め
め[目]              眼睛;目光;注目
め[芽]              芽
めい                侄女;外甥女
めいさく[名作]   名著;名作;杰出的作品
めいし[名刺]        名片
めいじ[明治]    明治(日本年号1868-1919年)
めいしょ[名所]      名胜地
めいしん[迷信]      迷信
めいじん[名人]      名手;(棋)名人
めいはく[明白(な)]  明白;明显
めいぶつ[名物]      名产;特产
めいぼ[名簿]        名簿;名册
めいめい[銘々]      各自
めいよ[名誉]        名誉
めいりょう[明瞭(に)] 明了;明确
めいれい[命令(する/自)] 命令
めいろう[明朗(な)]  明朗;开朗
めいわく[迷惑(する/自)] 麻烦;为难
めうえ[目上]        长辈;上司
メートル            公尺(m) 
メール              电子邮件;短讯
めかた[目方]        重量;分量
めがね[眼鏡]        眼镜
めぐすり[目薬]      眼药
めぐまれた[恵まれた] 天赋;幸运
めくる/他           翻;揭下
めざす[目指す/他]   以…为目标
めざましい[目覚しい] 惊人;异常显著
めし[飯]            饭
めしあがる[召し上がる/他] (敬语)吃;喝;抽(烟)喝
めした[目下]        晚辈;部下
めす[雌]            雌性;母
めずらしい[珍しい]  珍贵;少有
めだつ[目立つ/自]   显眼;引人注目
めったに      (与否定语呼应)不常;稀少
めつぼう[滅亡(する/自)] 灭亡
めでたい            可喜可贺
めにつく[目に付く/自] 看到;引人注目
メニュー            菜单
めまい              头晕;眼花
メモ                笔记
めもり[目盛り]      刻度
めん[綿]            棉
めん[面]            脸面;面具;方面
めんかい[面会(する/自)] 会面
めんきょ[免許]  (行政厅发的)批准;许可
めんきょしょう[免許証] 许可证;执照
めんする[面する/自] 面向;面对;面临
めんぜい[免税]      免税
めんせき[面積]      面积
めんどう(な)        麻烦;费事;繁难
めんどうくさい    非常麻烦; 极其费

も
もう                已经;快要;再
もうける[設ける/他] 预备;设置
もうける/他         赚钱;占便宜
もうしあげる[申し上げる/他] (敬语)说;讲
もうしこむ[申し込む/他]申请;提出;预约
もうしわけない[申し訳ない] 实在抱歉
もうふ[毛布]        毛毯
もうれつ[猛烈(に)]  猛烈;激烈
もえる[燃える/自]  燃烧;着火;热情洋溢
もくざい[木材]      木材;木料
もくじ[目次]        目次
もくてき[目的]      目的
もくてきち[目的地]  目的地
もくひょう[目標]    目标;指标
もくよう[木曜]      星期四
もぐる[潜る/自]     潜水;藏入;钻进
もくろく[目録]      目录
もけい[模型]        模型
もし(も)            如果;万一
もじ[文字]          文字
もしかすると        也许;可能
もしくは            或者
もしもし<感>        喂 (打电话时用)
もたれる/自         倚靠;积食;不消化
もち[持ち]          耐久性;有很多
もち[餅]            年糕
もちいる[用いる/他] 使用;采用;录用
もちこむ[持ち込む/他] 带入;带进
もちぬし[持ち主]    物主;所有人 →所
もちもの[持ち物]   携帯物品;所有物
もちろん            当然;不用说
もつ[持つ/他]       拿;带;所有 →所
もったいない       可惜;过分好;不敢当
もっていく[持っていく/他]拿去;带走
もってくる[持ってくる/他]拿来;带来
もっと            更;进一步;再???点儿
もっとも   最;顶;(与否定呼应)不过→与
もっとも(な)        理所当然 →所
もっぱら            专门;专心;独揽
もてなす/他         接待;款待
もと[元]            原来;本源;原因
もどす[戻す/他]     还;退;吐
もとづく[基づく/自] 根据;本着
もとめる[求める/他] 希望;寻求;征求
もともと            根本;原来
もどる[戻る/自]     返回;回家
もの                东西;物品;道理
ものおき[物置]      库房;堆房
ものおと[物音]      声音;响动
ものがたり[物語]    故事;传说
ものさし[物差し]    尺;尺度
ものずき[物好き]    好奇;好事
ものすごい          惊人;不得了
もはん[模範]        模范;榜样
もほう[模倣(する/他)] 仿效
もみじ[紅葉]        红叶;枫叶;枫树
もめん[木綿]        棉织品;棉花
もも[桃]            桃;桃树
もも[股]            大腿;股
もやす[燃やす/他]   燃烧;激起
もよう[模様]        花纹;样子;情况
もよおし[催し]      集会;活动
もよおす[催す/他]   举办;主办
もらう/他           接受;得到
もらす[漏らす/他]   漏掉;露出
もり[森]            森林
もる[盛る/他]       盛(饭等)
もれる[漏れる/自]   漏出;遗漏
もろい              脆弱;不坚强
もん[門]            大门
もんく[文句]        词语;牢骚;异议
もんだい[問題]      问题
もんどう[問答]      问答;争论

や
や[矢]              箭
やあ                喂;哎呀
やおや[八百屋]      蔬菜水果店
やがて              不久;将近
やかましい       吵闹的;罗嗦;议论纷纷
やかん[やかん]      水壶;铁壶
やかん[夜間]        夜间
やきゅう[野球]      棒球
やく[訳]            翻译
やく[役]            任务;角色
やく[焼く/他]       烧;烤;晒;灼
やく[約]            约定;简略;大约 
やくしゃ[役者]      演员
やくしょ[役所]      政府机关;官厅
やくす[訳す/他]     翻译;解释
やくそく[約束(する/他)] 约定
やくだつ[役立つ/自] 起作用;有用
やくにん[役人]      官吏;公务员
やくひん[薬品]      药品;化学试剂
やくめ[役目]        任务;职责
やくわり[役割]      任务;分派的职务
やけど              烧伤;火伤
やける[焼ける/自]   着火;烧热;晒黑
やさい[野菜]        青菜;蔬菜
やさしい[易しい]    容易
やさしい[優しい]    温和;亲切
やしなう[養う/他]   养;扶养;喂养;培养
やじるし[矢印]      箭头
やすい[安?易い]    便宜;容易
やすみ[休み]        休息;休假
やすむ[休む/他]     休息;暂停;睡觉
やせる/自           痩;贫瘠
やちん[家賃]        房租
やっかい(な)        麻烦;难为
やっきょく[薬局]    药铺;(医院)药房
やっつ[八つ]        八个;八岁
やっと              好容易;终于;总算
やとう[野党]        在野党
やとう[雇う/他]     雇用
やぬし[家主]        房东
やね[屋根]          屋顶;房顶
やはり              还是;果然
やばん[野蛮(な)]    野蛮;粗野
やぶく[破く/他]     弄破;撕破;撕毁
やぶける[破ける/自] 破
やぶる[破る/他]   弄破;违犯;失约;打败
やぶれる[破れる/自] 破裂;决裂 
やま[山]            山;堆积如山
やみ[闇]            黑暗;糊涂
やむ[止む/自]       停止;停息
やめる[止める/他]   停止;辞职;取消
やや                稍微;一会儿
やりなおす/他       重做
やる/他             做;干;搞
やる[遣る/他]       给;派去
やわらかい[柔らかい] 软;嫩

ゆ
ゆ[湯]              开水;热水
ゆいいつ[唯一(の)]  唯一
ゆうえき[有益(な)]  有益
ゆうがい[有害(な)]  有害;无益
ゆうがた[夕方]      傍晩
ゆうかん[夕刊]     (对晨报而言的)晚报
ゆうかん[勇敢(な)]  勇敢
ゆうき[勇気]        勇气
ゆうこう[有効(な)]  有效
ゆうしゅう[優秀(な)] 优秀
ゆうしょう[優勝(する/自)] 优胜;冠军
ゆうじょう[友情]    友情
ゆうしょく[夕食]    晚饭
ゆうじん[友人]      朋友;友人
ゆうだち[夕立]    (傍晩下的)阵雨;骤雨
ゆうどく[有毒(な)]  有毒
ゆうのう[有能(な)]  有能力;能干
ゆうはん[夕飯]      晚饭
ゆうひ[夕日]        夕阳
ゆうびん[郵便]      邮件
ゆうびんきょく[郵便局] 邮局
ゆうべ              昨夜;昨天晚上
ゆうぼう[有望(な)]  (前途)有希望
ゆうめい[有名(な)]  有名
ユーモア            幽默
ゆうやけ[夕焼け]    晩霞
ゆうり[有利(な)]    有利
ゆうりょう[有料]    收费
ゆうりょく[有力(な)]  有力;有权威;有希望
ゆうわく[誘惑(する/他)] 诱惑
ゆえに              所以;因为
ゆか[床]            地板
ゆかい[愉快(な)]    愉快;快活
ゆかた[浴衣]        单和服;浴衣;睡衣
ゆき[雪]            雪
ゆき[行き]        (交通工具)去???方向
ゆく[行く/自]       去;走
ゆげ[湯気]          热气;蒸气
ゆしゅつ[輸出(する/他)] 输出;出口
ゆずる[譲る/他]     让给;让步;出让
ゆそう[輸送(する/他)] 运输;输送;运送
ゆたか[豊か(な)]    丰富;充裕
ゆだん[油断(する/自)粗心大意;缺乏警惕
ゆっくり            慢慢地
ゆでる/他           煮
ゆにゅう[輸入(する/他)] 输入;进口
ゆび[指]            手指;脚趾
ゆびさす[指さす/他] 用手指;指责
ゆびわ[指輪]        戒指
ゆみ[弓]            弓;弓形物
ゆめ[夢]            梦;幻想;梦想
ゆるい              松;稀;慢
ゆるす[許す/他]   原谅;允许;容许;公认
ゆるむ/自           松;缓和;疏忽
ゆるめる/他         放松;缓和
ゆれる[揺れる/自]   揺晃;晃荡

よ
よ[夜]              夜;夜间
よあけ[夜あけ]      天亮的时候;黎明
よい[良い]          好;可以
よう[様]            ???方式;???样子
よう[用]            用途;事情
よう[酔う/自]       醉;晕
よう(な)       像;犹如;有如;似的;似乎
ようい[用意(する/他)] 准备
ようい[容易(な)]    容易;简单
ようか[八日]        八日;八号;八天
ようき[容器]        容器
ようきゅう[要求(する/他)] 要求
ようけん[用件]      事情
ようご[用語]        用语;术语
ようじ[幼児]        幼儿
ようじ[用事]        事情
ようしょく[洋食]    西餐
ようじん[用心(する/自)]注意;小心;留神
ようす              情況;样子
ようするに[要するに] 总而言之;总归
ようせい[養成(する/他)] 培养;造就
ようそ[要素]        要素;因素
ようち[幼稚(な)]    幼稚
ようちえん[幼稚園]  幼儿园
ようてん[要点]      要点
ようと[用途]        用途;用处
ようび[曜日]        星期
ようふう[洋風]      西式
ようふく[洋服]      西装
ようま[洋間]        西式房间
ようもう[羊毛]      羊毛
ようやく            好不容易;渐渐
ようりょう[要領]    要领;窍门
ヨーグルト          酸奶
よか[余暇]          余暇;业余时间
よき[予期(する/他)] 预期
よきん[預金(する/他)] 存款
よく[欲]            欲望;贪心
よく           好好地;常常地;动不动就
よく[翌]            翌;次;第二
よくあさ[翌朝]      第二天早上
よくしつ[浴室]      浴室;洗澡间
よくじつ[翌日]      第二天
よくねん[翌年]      第二年
よくばり[欲ばり]    贪多;贪得无厌
よくぼう[欲望]      欲望
よけい[余計(な)]    多余
よける/他           避;防;遮;挡;躲
よこ[横]            横;旁边
よこがお[横顔]      侧脸;侧面
よこぎる[横ぎる/他] 横穿过;横断
よこす/他           寄来;送来;派来
よごす[汚す/他]     弄脏;污染
よごれる[汚れる/自] 脏;污染
よさん[予算]        预算
よし<感>            好;行
よしゅう[予習(する/他)] 预习
よす[止す/他]       停止;作罢
よせる[寄せる/他]   使???靠近
よそ                别处;别人家;不顾
よそう[予想(する/他)] 预料;预想
よち[余地]          余地;空地
よっか[四日]        四日;四号;四天
よつかど[四つ角]    十字路口
よっつ[四つ]        四;四个;四岁
よてい[予定(する/他)] 预定
よとう[与党]        执政党
よなか[夜中]        半夜
よのなか[世の中]    世间
よぶ[呼ぶ/他]       叫;叫来;招待
